ts,label,agent_url,device,cpu_percent_avg,mem_used_mb_peak,mem_used_mb_avg,net_kbps,accept_latency_ms,throughput_tx_s,total,elapsed_s
2025-09-24T06:54:18.430518,RQ3.1_L4,local,ESP32,6.75,6692.45,6688.91,3130.33,1089.437,0.92,,1.089
2025-09-24T06:54:21.063255,RQ3.1_L4,local,ESP32,9.45,6713.46,6713.11,2915.75,1097.951,0.91,,1.098
2025-09-24T06:54:23.696442,RQ3.1_L4,local,ESP32,10.62,6727.07,6718.76,3189.11,1076.567,0.93,,1.077
2025-09-24T06:54:26.325181,RQ3.1_L4,local,ESP32,8.75,6713.83,6709.61,4192.85,1020.654,0.98,,1.021
2025-09-24T06:54:28.949816,RQ3.1_L4,local,ESP32,6.65,6718.39,6716.63,4620.31,995.393,1.0,,0.995
2025-09-24T06:54:31.555175,RQ3.1_L4,local,ESP32,6.62,6734.39,6733.7,5550.94,1005.872,0.99,,1.006
2025-09-24T06:54:34.153717,RQ3.1_L4,local,ESP32,7.72,6740.48,6738.76,5762.68,942.855,1.06,,0.943
2025-09-24T06:54:36.755402,RQ3.1_L4,local,ESP32,10.5,6733.12,6725.42,4282.76,1025.088,0.98,,1.025
2025-09-24T06:54:39.366739,RQ3.1_L4,local,ESP32,6.8,6428.36,6428.24,5213.19,1018.132,0.98,,1.018
2025-09-24T06:54:41.967475,RQ3.1_L4,local,ESP32,6.78,6422.23,6415.98,4971.35,943.982,1.06,,0.944
